,●                留著夾紙                ●,,,,,,,,●                留著夾紙                ●,,,,,,,,●                留著夾紙                ●,,,,,,,,●                留著夾紙                ●,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,09,0,34,300,59,0,84,0,09,"1,500",34,0,59,0,84,0,09,0,34,300,59,0,84,"1,500",09,300,34,0,59,500,84,0,09,0,34,600,59,"1,500",84,0,09,300,34,0,59,0,84,0,09,"1,500",34,0,59,300,84,0,09,0,34,500,59,"1,500",84,500,09,0,34,0,59,0,84,500
,10,500,35,500,60,500,85,0,10,0,35,0,60,0,85,0,10,500,35,0,60,0,85,"1,000",10,0,35,0,60,0,85,0,10,0,35,0,60,0,85,0,10,0,35,0,60,300,85,0,10,300,35,0,60,"1,500",85,0,10,500,35,0,60,300,85,300,10,0,35,0,60,0,85,0
,11,0,36,0,61,0,86,0,11,0,36,0,61,0,86,0,11,300,36,0,61,0,86,0,11,0,36,500,61,0,86,0,11,0,36,0,61,0,86,0,11,0,36,0,61,"1,500",86,500,11,0,36,0,61,0,86,300,11,0,36,"1,500",61,0,86,0,11,0,36,300,61,"1,500",86,0
,12,0,37,"1,000",62,0,87,0,12,0,37,300,62,0,87,0,12,0,37,"1,500",62,300,87,300,12,500,37,300,62,0,87,0,12,0,37,0,62,0,87,0,12,0,37,0,62,0,87,600,12,500,37,600,62,"1,500",87,0,12,0,37,0,62,0,87,500,12,300,37,500,62,0,87,"1,500"
,13,0,38,0,63,500,88,300,13,0,38,600,63,0,88,0,13,0,38,0,63,0,88,0,13,0,38,"1,500",63,0,88,600,13,"1,500",38,500,63,0,88,0,13,0,38,"1,500",63,"5,000",88,0,13,0,38,0,63,300,88,0,13,0,38,0,63,300,88,0,13,0,38,0,63,0,88,300
,14,0,39,500,64,300,89,0,14,0,39,"1,500",64,0,89,0,14,0,39,0,64,0,89,0,14,300,39,0,64,300,89,0,14,300,39,300,64,0,89,0,14,0,39,0,64,"1,500",89,0,14,0,39,0,64,0,89,0,14,300,39,0,64,0,89,"1,000",14,0,39,0,64,"1,500",89,0
,15,0,40,0,65,300,90,"1,500",15,0,40,0,65,500,90,0,15,0,40,0,65,0,90,0,15,300,40,300,65,0,90,0,15,300,40,0,65,0,90,0,15,0,40,0,65,0,90,300,15,0,40,500,65,0,90,0,15,0,40,0,65,0,90,0,15,300,40,0,65,300,90,0
,16,0,41,500,66,300,91,0,16,0,41,300,66,0,91,0,16,0,41,300,66,0,91,0,16,0,41,0,66,300,91,0,16,"1,500",41,0,66,600,91,300,16,0,41,0,66,0,91,0,16,300,41,300,66,0,91,0,16,300,41,300,66,0,91,0,16,0,41,0,66,"1,500",91,0
,17,0,42,0,67,0,92,"1,500",17,300,42,600,67,0,92,300,17,300,42,0,67,500,92,300,17,0,42,0,67,0,92,0,17,"1,500",42,0,67,0,92,0,17,0,42,0,67,0,92,0,17,0,42,0,67,0,92,500,17,0,42,300,67,0,92,0,17,0,42,0,67,0,92,0
,18,0,43,0,68,300,93,0,18,0,43,0,68,0,93,300,18,0,43,0,68,0,93,0,18,300,43,500,68,0,93,0,18,0,43,0,68,0,93,0,18,"1,500",43,0,68,0,93,300,18,0,43,500,68,0,93,0,18,0,43,0,68,0,93,0,18,500,43,0,68,0,93,0
,19,300,44,0,69,"1,500",94,0,19,0,44,0,69,0,94,500,19,600,44,0,69,0,94,300,19,300,44,0,69,0,94,0,19,500,44,0,69,500,94,0,19,300,44,300,69,0,94,0,19,0,44,0,69,0,94,300,19,0,44,0,69,0,94,0,19,0,44,0,69,0,94,0
,20,300,45,300,70,0,95,0,20,0,45,0,70,300,95,0,20,"1,500",45,0,70,"1,500",95,300,20,0,45,0,70,0,95,500,20,0,45,0,70,300,95,500,20,0,45,"1,500",70,0,95,0,20,0,45,0,70,300,95,500,20,300,45,"1,500",70,300,95,0,20,0,45,0,70,0,95,500
,21,0,46,0,71,"1,500",96,0,21,0,46,0,71,0,96,0,21,500,46,0,71,0,96,0,21,0,46,0,71,0,96,0,21,0,46,0,71,0,96,0,21,600,46,0,71,0,96,0,21,0,46,0,71,0,96,0,21,0,46,0,71,0,96,0,21,0,46,300,71,300,96,0
,22,0,47,0,72,"1,500",97,"1,500",22,"1,500",47,300,72,0,97,0,22,0,47,0,72,0,97,500,22,"1,500",47,0,72,600,97,500,22,300,47,0,72,300,97,0,22,0,47,300,72,0,97,0,22,0,47,500,72,0,97,0,22,0,47,300,72,0,97,300,22,300,47,0,72,0,97,500
,23,0,48,0,73,0,98,0,23,0,48,0,73,0,98,0,23,0,48,0,73,0,98,0,23,0,48,300,73,0,98,0,23,500,48,0,73,0,98,0,23,0,48,0,73,500,98,300,23,0,48,0,73,0,98,0,23,0,48,300,73,0,98,0,23,0,48,300,73,0,98,0
,24,300,49,300,74,0,99,0,24,"1,500",49,0,74,0,99,300,24,0,49,0,74,300,99,"1,500",24,0,49,0,74,300,99,0,24,0,49,300,74,0,99,300,24,0,49,0,74,0,99,300,24,0,49,0,74,0,99,300,24,0,49,"1,500",74,0,99,0,24,"1,500",49,0,74,0,99,0
,25,0,50,0,75,300,100,0,25,500,50,0,75,0,100,500,25,300,50,500,75,0,100,300,25,0,50,0,75,0,100,300,25,0,50,0,75,300,100,0,25,300,50,300,75,0,100,0,25,"1,500",50,0,75,0,100,0,25,300,50,0,75,0,100,0,25,0,50,300,75,0,100,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,69,69,70,69,69,68,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,17,16,16,16,17,17,16,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,7,7,6,7,6,6,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,0,2,1,2,2,2,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,1,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18600,18500,18400,18500,18300,23300,18500,18600,18300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
